MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,state,ProductGroup
1449295,6793,132,1,1994,0.0,UNK,2/15/2010 0:00,590,590,UNK,UNK,UNK,UNK,Florida,BL
252220,3538,132,7,1998,0.0,UNK,4/16/2003 0:00,416C,416,C,UNK,UNK,UNK,South Carolina,BL
1377938,3406,132,1,1989,0.0,UNK,3/11/2005 0:00,225B,225,B,UNK,UNK,Large / Medium,Missouri,TEX
1147067,7267,132,1,1970,0.0,UNK,3/20/2002 0:00,930,930,UNK,UNK,UNK,UNK,Texas,WL
1530579,1605,132,4,1984,0.0,UNK,2/1/1989 0:00,D6DLGP,D6,D,UNK,LGP,Medium,Florida,TTT
1352697,3567,132,1,1996,0.0,UNK,12/5/2000 0:00,446B,446,B,UNK,UNK,UNK,California,BL
1000396,4722,121,3,1000,489.0,Low,1/16/2009 0:00,570B,570,B,UNK,UNK,UNK,Florida,MG
1304338,3112,132,1,2000,3120.0,Medium,5/12/2010 0:00,1845C,1845,C,UNK,UNK,UNK,Illinois,SSL
1048256,3807,121,3,1998,11521.0,High,8/25/2005 0:00,938G,938,G,UNK,UNK,Medium,Arizona,WL
1216250,3178,132,99,2000,2291.0,Low,3/4/2010 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Arkansas,BL
1284612,3170,132,2,1990,0.0,UNK,8/13/1994 0:00,580K,580,K,UNK,UNK,UNK,Pennsylvania,BL
1547256,3170,132,13,1988,0.0,UNK,5/9/1996 0:00,580K,580,K,UNK,UNK,UNK,Tennessee,BL
1460180,6979,132,1,1967,0.0,UNK,10/20/1994 0:00,16,16,UNK,UNK,UNK,UNK,Texas,MG
1012386,4970,121,3,1997,3618.0,Low,7/28/2011 0:00,FG65C,FG65,C,UNK,UNK,UNK,Texas,MG
797793,4329,132,7,1997,0.0,UNK,9/5/2002 0:00,IT24F,IT24,F,UNK,UNK,UNK,Alabama,WL
871482,3822,132,5,1988,0.0,UNK,3/13/1999 0:00,950E,950,E,UNK,UNK,Medium,New York,WL
1473822,4123,132,10,1971,0.0,UNK,5/21/1993 0:00,D6C,D6,C,UNK,UNK,Medium,Mississippi,TTT
1546764,4128,132,1,1987,0.0,UNK,2/22/1991 0:00,D6H,D6,H,UNK,UNK,Medium,Texas,TTT
1060657,28911,121,3,1998,7273.0,Low,8/18/2011 0:00,WA1203L,WA120,UNK,3,L,UNK,Tennessee,WL
36484,1597,132,20,1997,0.0,UNK,6/16/2011 0:00,D5MXL,D5,M,UNK,XL,Medium,Arkansas,TTT
92803,7008,132,18,1986,0.0,UNK,6/13/1992 0:00,225,225,UNK,UNK,UNK,Large / Medium,Delaware,TEX
1192702,3356,132,1,1967,0.0,UNK,3/9/1993 0:00,12F,12,F,UNK,UNK,UNK,Maryland,MG
1334211,1652,132,6,1988,0.0,UNK,3/2/1995 0:00,D7HLGP,D7,H,UNK,LGP,Large,Florida,TTT
1439273,3238,132,1,2000,0.0,UNK,9/12/2002 0:00,850G,850,G,UNK,UNK,UNK,Texas,TTT
1386994,1526,132,4,1986,0.0,UNK,2/9/2000 0:00,D3BLGP,D3,B,UNK,LGP,UNK,Florida,TTT
697502,28230,121,3,1000,9004.0,Medium,2/25/2010 0:00,D41P3,D41,P,3,UNK,UNK,Michigan,TTT
1085930,3112,132,1,1999,0.0,UNK,11/17/2005 0:00,1845C,1845,C,UNK,UNK,UNK,Texas,SSL
1128670,3546,132,1,1992,0.0,UNK,6/28/2006 0:00,426B,426,B,UNK,UNK,UNK,California,BL
1195050,3164,132,99,1980,0.0,UNK,6/7/2003 0:00,580C,580,C,UNK,UNK,UNK,Maine,BL
1502730,6974,132,99,1973,0.0,UNK,3/6/2010 0:00,120,120,UNK,UNK,UNK,UNK,Missouri,MG
1000807,4889,121,3,1981,5508.0,Low,2/24/2005 0:00,TD25E,TD25,E,UNK,UNK,Large,Georgia,TTT
1544382,3170,132,10,1990,0.0,UNK,4/18/1996 0:00,580K,580,K,UNK,UNK,UNK,Louisiana,BL
1106632,7259,132,1,1986,0.0,UNK,3/29/2005 0:00,916,916,UNK,UNK,UNK,UNK,Texas,WL
1500638,3177,132,1,1991,0.0,UNK,11/17/2005 0:00,580SUPER K,580,SUPER K,UNK,UNK,UNK,Texas,BL
904094,6265,121,3,2000,1974.0,High,11/18/2004 0:00,4810,4810,UNK,UNK,UNK,UNK,Kentucky,SSL
528338,1192,132,9,2000,0.0,UNK,5/15/2008 0:00,322BL,322,B,UNK,L,Large / Medium,South Carolina,TEX
1260167,4128,132,6,1990,0.0,UNK,4/11/1995 0:00,D6H,D6,H,UNK,UNK,Medium,Maryland,TTT
891636,4132,132,1,1997,0.0,UNK,6/8/2004 0:00,D6R,D6,R,UNK,UNK,Medium,Tennessee,TTT
1161547,6558,132,1,1971,0.0,UNK,4/27/1990 0:00,1150,1150,UNK,UNK,UNK,Medium,Oregon,TTT
1193418,6979,132,19,1970,0.0,UNK,11/8/2001 0:00,16,16,UNK,UNK,UNK,UNK,California,MG
1182460,7257,132,1,1988,0.0,UNK,12/10/1991 0:00,910,910,UNK,UNK,UNK,Compact,Georgia,WL
