SalesID,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,state,ProductGroup,SalePrice
20191226152679160,859271,3804,121,3,1000,6920.0,Medium,5/1/2008 0:00,936F,936,F,UNK,UNK,Medium,Wisconsin,WL,38000
20191226152863870,1203423,7267,132,6,1979,0.0,UNK,8/11/1995 0:00,930,930,UNK,UNK,UNK,UNK,Texas,WL,20000
20191226152654847,231598,3538,121,3,2000,5015.0,High,4/6/2006 0:00,416C,416,C,UNK,UNK,UNK,Virginia,BL,31500
20191226152812933,1342399,3414,132,1,1987,0.0,UNK,3/30/2001 0:00,235B,235,B,UNK,UNK,Large / Medium,California,TEX,32000
20191226152905512,1207273,7110,132,99,1990,1940.0,Medium,6/24/1995 0:00,416,416,UNK,UNK,UNK,UNK,New York,BL,20500
20191226152643793,288264,3538,121,3,2000,3959.0,Medium,6/28/2007 0:00,416C,416,C,UNK,UNK,UNK,Virginia,BL,33000
20191226152874859,1186709,3823,132,4,1992,0.0,UNK,2/7/2005 0:00,950F,950,F,UNK,UNK,Medium,Florida,WL,42000
20191226152759110,1188005,3164,132,5,1000,0.0,UNK,3/18/1995 0:00,580C,580,C,UNK,UNK,UNK,Connecticut,BL,10000
20191226152816653,1448617,7503,132,1,1988,0.0,UNK,3/7/2001 0:00,E140,E140,UNK,UNK,UNK,Small,Missouri,TEX,9500
20191226152776607,1309598,6633,132,4,1990,0.0,UNK,10/21/2006 0:00,1840,1840,UNK,UNK,UNK,UNK,Pennsylvania,SSL,6600
20191226152788588,1513461,3166,132,1,1997,0.0,UNK,12/12/2001 0:00,580E,580,E,UNK,UNK,UNK,Texas,BL,14500
20191226152825212,843561,4089,132,16,1983,0.0,UNK,9/13/2001 0:00,D3B,D3,B,UNK,UNK,UNK,Wisconsin,TTT,12500
20191226152877307,846774,1623,132,3,1999,0.0,UNK,4/24/2003 0:00,D6MLGP,D6,M,UNK,LGP,Medium,Unspecified,TTT,76000
20191226152823413,1450137,3819,132,21,1984,0.0,UNK,5/4/1995 0:00,950B,950,B,UNK,UNK,Medium,Maine,WL,47500
20191226152901268,1170866,4090,132,2,1990,400.0,Low,12/11/1993 0:00,D3C,D3,C,UNK,UNK,UNK,Pennsylvania,TTT,31000
20191226152752989,1517299,3170,132,2,1987,0.0,UNK,2/25/1995 0:00,580K,580,K,UNK,UNK,UNK,Maine,BL,23000
20191226152901603,817086,1638,132,4,1997,0.0,UNK,2/13/2006 0:00,D6RXL,D6,R,UNK,XL,Medium,Florida,TTT,92500
20191226152819228,870637,3538,132,2,1999,0.0,UNK,10/26/2002 0:00,416C,416,C,UNK,UNK,UNK,Pennsylvania,BL,32500
20191226152640549,62359,7255,121,3,1999,2820.0,Medium,6/1/2006 0:00,906,906,UNK,UNK,UNK,Compact,Louisiana,WL,19500
20191226152852256,258974,1596,132,1,1999,0.0,UNK,10/16/2001 0:00,D5MLGP,D5,M,UNK,LGP,Medium,South Carolina,TTT,52500
20191226152685533,1006854,23812,121,3,1000,36516.0,Low,1/15/2009 0:00,WA6001L,WA600,UNK,1,L,Large,North Carolina,WL,18500
20191226152791413,1332859,3178,132,1,1997,0.0,UNK,6/28/2006 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,California,BL,26000
20191226152865360,1535781,7277,132,4,1980,0.0,UNK,10/29/1998 0:00,950,950,UNK,UNK,UNK,Medium,South Carolina,WL,14200
20191226152757119,1273952,6558,132,1,1974,0.0,UNK,12/11/1992 0:00,1150,1150,UNK,UNK,UNK,Medium,Kansas,TTT,12000
20191226152784369,1352708,3178,132,1,1996,0.0,UNK,9/16/2005 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Nevada,BL,18000
20191226152805308,1303283,3356,132,1,1972,0.0,UNK,11/30/1989 0:00,12F,12,F,UNK,UNK,UNK,Arizona,MG,17500
20191226152706237,1032380,3778,121,3,1000,6975.0,Low,9/23/2010 0:00,926E,926,E,UNK,UNK,UNK,North Carolina,WL,23500
20191226152897919,619462,1597,132,10,1998,0.0,UNK,1/19/2011 0:00,D5MXL,D5,M,UNK,XL,Medium,Louisiana,TTT,28000
20191226152860122,263929,1611,132,11,1991,0.0,UNK,10/12/2000 0:00,D6HIILGP,D6,H,II,LGP,Medium,Mississippi,TTT,37500
20191226152838150,776735,1611,132,1,1992,0.0,UNK,2/15/2005 0:00,D6HIILGP,D6,H,II,LGP,Medium,Florida,TTT,45000
20191226152898600,656542,7009,132,1,1999,0.0,UNK,10/30/2001 0:00,226,226,UNK,UNK,UNK,UNK,Idaho,SSL,14000
20191226152869938,1514574,4146,132,4,1972,0.0,UNK,2/9/2000 0:00,D8H,D8,H,UNK,UNK,Large,Florida,TTT,16500
20191226152760779,1424397,3164,132,7,1980,0.0,UNK,3/15/1996 0:00,580C,580,C,UNK,UNK,UNK,Alabama,BL,11000
20191226152649088,1029931,4700,121,3,1994,7205.0,Low,8/7/2008 0:00,544G,544,G,UNK,UNK,UNK,Missouri,WL,30000
20191226152813594,1286379,4331,132,4,1988,0.0,UNK,2/17/2001 0:00,IT28B,IT28,B,UNK,UNK,UNK,Florida,WL,36500
20191226152845877,1213380,7013,132,1,1980,0.0,UNK,5/25/1989 0:00,235,235,UNK,UNK,UNK,Large / Medium,Montana,TEX,82500
20191226152709183,229605,7013,121,3,1000,0.0,UNK,12/9/2010 0:00,235,235,UNK,UNK,UNK,Large / Medium,Maryland,TEX,10000
20191226152785888,1396438,3161,132,1,1995,0.0,UNK,3/14/2000 0:00,550G,550,G,UNK,UNK,UNK,Texas,TTT,27000
20191226152773012,1481070,3261,132,2,1998,0.0,UNK,9/12/2002 0:00,90XT,90,XT,UNK,UNK,UNK,Texas,SSL,12500
20191226152883623,851918,3807,132,1,1999,0.0,UNK,4/5/2007 0:00,938G,938,G,UNK,UNK,Medium,Maryland,WL,54000
20191226152779374,1393302,3199,132,7,1994,0.0,UNK,3/2/2001 0:00,621B,621,B,UNK,UNK,UNK,Alabama,WL,27500
20191226152769834,1440533,3112,132,99,1991,0.0,UNK,5/4/1996 0:00,1845C,1845,C,UNK,UNK,UNK,Illinois,SSL,9000
20191226152865774,1123824,4122,132,13,1963,0.0,UNK,5/21/1994 0:00,D6B,D6,B,UNK,UNK,UNK,Tennessee,TTT,9100
20191226152669917,1006662,9563,121,3,1000,2460.0,Medium,11/1/2007 0:00,863,863,UNK,UNK,UNK,UNK,Ohio,SSL,8500
20191226152887761,729644,3538,132,8,1999,0.0,UNK,9/18/2002 0:00,416C,416,C,UNK,UNK,UNK,Mississippi,BL,24500
20191226152880952,1274050,4128,132,1,1987,0.0,UNK,12/7/2000 0:00,D6H,D6,H,UNK,UNK,Medium,Washington,TTT,60000
20191226152702292,1066244,3357,121,3,1000,0.0,UNK,6/10/2010 0:00,12G,12,G,UNK,UNK,UNK,Texas,MG,41000
20191226152708132,1016212,3886,121,3,1998,32301.0,High,9/30/2010 0:00,988F,988,F,UNK,UNK,Large,Kansas,WL,33000
20191226152835145,1499967,7624,132,1,1985,0.0,UNK,4/3/1997 0:00,IT28,IT28,UNK,UNK,UNK,UNK,Georgia,WL,30000
20191226152779011,1242522,13276,132,1,2000,0.0,UNK,8/14/2002 0:00,721C,721,C,UNK,UNK,Medium,Texas,WL,88000
20191226152861041,1483344,7036,132,2,1998,0.0,UNK,1/13/2001 0:00,301.5,301.5,UNK,UNK,UNK,Mini,New York,TEX,13500
20191226152771064,1199407,6633,132,2,1995,0.0,UNK,2/7/2000 0:00,1840,1840,UNK,UNK,UNK,UNK,Florida,SSL,9250
20191226152646142,1066532,4840,121,3,1988,0.0,UNK,12/14/2005 0:00,850B,850,B,UNK,UNK,Medium,West Virginia,TTT,20000
20191226152708139,999379,4508,121,3,1000,4131.0,Low,10/14/2010 0:00,730A,730,A,UNK,UNK,UNK,Pennsylvania,MG,17500
20191226152659278,544320,3357,121,3,1000,3306.0,Low,8/25/2011 0:00,12G,12,G,UNK,UNK,UNK,Indiana,MG,51000
20191226152700467,571622,1263,121,3,2000,10222.0,Medium,4/29/2010 0:00,330BL,330,B,UNK,L,Large / Medium,Indiana,TEX,32000
20191226152794267,1377962,3171,132,2,2000,0.0,UNK,2/7/2008 0:00,580L,580,L,UNK,UNK,UNK,Florida,BL,26000
20191226152680116,325313,4331,121,3,1000,19220.0,High,6/12/2008 0:00,IT28B,IT28,B,UNK,UNK,UNK,Pennsylvania,WL,19000
