SalesID,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,saledate,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,state,ProductGroup,SalePrice
20191227113463644,1199439,6949,132,1,1981,0.0,UNK,9/28/1989 0:00,W14,W14,UNK,UNK,UNK,Compact,Arizona,WL,19500
20191227113478204,1490905,3199,132,1,1995,0.0,UNK,2/26/2004 0:00,621B,621,B,UNK,UNK,UNK,Arizona,WL,27000
20191227113481086,1536144,3170,132,13,1988,0.0,UNK,12/10/2005 0:00,580K,580,K,UNK,UNK,UNK,Tennessee,BL,16500
20191227113543560,1414230,3854,132,6,1976,0.0,UNK,4/1/1997 0:00,966C,966,C,UNK,UNK,Medium,Nebraska,WL,33000
20191227113485196,1499010,3178,132,1,1993,0.0,UNK,3/25/2003 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Washington,BL,23500
20191227113485697,1100925,6793,132,1,1994,0.0,UNK,3/30/2007 0:00,590,590,UNK,UNK,UNK,UNK,Nevada,BL,18000
20191227113491246,1338321,3178,132,1,1996,0.0,UNK,3/21/2007 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Washington,BL,27000
20191227113451883,1083391,6788,132,1,1985,0.0,UNK,4/16/1991 0:00,580,580,UNK,UNK,UNK,UNK,Tennessee,BL,14000
20191227113514668,1351013,4157,132,1,1988,0.0,UNK,9/27/2000 0:00,D9N,D9,N,UNK,UNK,Large,Ohio,TTT,75000
20191227113451231,1382069,6788,132,1,1988,0.0,UNK,2/18/1992 0:00,580,580,UNK,UNK,UNK,UNK,California,BL,17500
20191227113498406,1515213,4124,132,2,1980,0.0,UNK,6/14/2003 0:00,D6D,D6,D,UNK,UNK,Medium,Pennsylvania,TTT,11000
20191227113374321,999479,4156,121,3,1984,10093.0,Low,11/4/2004 0:00,D9L,D9,L,UNK,UNK,Large,West Virginia,TTT,76000
20191227113575317,1297925,1033,132,2,1984,0.0,UNK,5/15/2004 0:00,215BSA,215,B,UNK,SA,Small,Connecticut,TEX,14500
20191227113564392,1259841,7257,132,1,1980,0.0,UNK,12/3/1992 0:00,910,910,UNK,UNK,UNK,Compact,Washington,WL,16500
20191227113485703,1369845,6793,132,1,1994,0.0,UNK,9/14/2004 0:00,590,590,UNK,UNK,UNK,UNK,Arizona,BL,16500
20191227113586736,621262,3538,132,13,1997,0.0,UNK,9/11/2004 0:00,416C,416,C,UNK,UNK,UNK,Tennessee,BL,23000
20191227113407048,1069104,3177,121,3,1000,0.0,UNK,9/24/2010 0:00,580SUPER K,580,SUPER K,UNK,UNK,UNK,Mississippi,BL,10000
20191227113546860,1469841,1605,132,2,1983,0.0,UNK,12/6/2006 0:00,D6DLGP,D6,D,UNK,LGP,Medium,Texas,TTT,24500
20191227113454360,1113107,3108,132,99,1986,0.0,UNK,12/10/1994 0:00,1835B,1835,B,UNK,UNK,UNK,Washington,SSL,6000
20191227113406401,1030996,618,121,3,2001,11396.0,Medium,9/23/2010 0:00,WA380-3MC,WA380,UNK,-3MC,UNK,Medium,Texas,WL,41000
20191227113532613,57795,1192,132,1,2001,0.0,UNK,6/13/2003 0:00,322BL,322,B,UNK,L,Large / Medium,Texas,TEX,95000
20191227113560388,1092659,1611,132,1,1995,0.0,UNK,2/20/1997 0:00,D6HIILGP,D6,H,II,LGP,Medium,Texas,TTT,127500
20191227113604448,469129,7110,132,1,1987,0.0,UNK,10/23/1991 0:00,416,416,UNK,UNK,UNK,UNK,Maryland,BL,18000
20191227113572462,1358384,4137,132,14,1919,0.0,UNK,5/14/1994 0:00,D7E,D7,E,UNK,UNK,Large,Indiana,TTT,9750
20191227113544290,1521626,3819,132,4,1982,0.0,UNK,2/11/2002 0:00,950B,950,B,UNK,UNK,Medium,Florida,WL,29000
20191227113491471,1273959,3178,132,1,1998,0.0,UNK,6/3/2008 0:00,580SUPER L,580,SUPER L,UNK,UNK,UNK,Pennsylvania,BL,20500
20191227113470193,1089627,3112,132,21,1992,0.0,UNK,9/14/2000 0:00,1845C,1845,C,UNK,UNK,UNK,Maine,SSL,8000
20191227113390580,1066681,2249,121,3,2006,1681.0,Medium,5/21/2009 0:00,PC228USLC,PC228,US,UNK,LC,Large / Medium,Arizona,TEX,70000
20191227113598827,1174137,7009,132,3,2001,0.0,UNK,3/14/2002 0:00,226,226,UNK,UNK,UNK,UNK,Unspecified,SSL,15000
20191227113392204,1064113,24286,121,3,1996,0.0,UNK,9/17/2009 0:00,D8RLRC,D8,R,UNK,LRC,Large,Kentucky,TTT,107000
20191227113487127,1181246,3171,132,2,1996,0.0,UNK,1/13/2001 0:00,580L,580,L,UNK,UNK,UNK,New York,BL,30000
20191227113482972,1555991,3170,132,1,1990,0.0,UNK,2/25/1999 0:00,580K,580,K,UNK,UNK,UNK,California,BL,19000
20191227113452083,1221724,3166,132,22,1986,0.0,UNK,9/17/2005 0:00,580E,580,E,UNK,UNK,UNK,Minnesota,BL,17500
20191227113556536,856487,4090,132,3,1988,0.0,UNK,7/11/2003 0:00,D3C,D3,C,UNK,UNK,UNK,Unspecified,TTT,13500
20191227113616790,1381782,3357,132,99,1981,0.0,UNK,11/17/1994 0:00,12G,12,G,UNK,UNK,UNK,Texas,MG,53000
20191227113558215,1229142,3415,132,1,1989,0.0,UNK,6/17/2003 0:00,235C,235,C,UNK,UNK,Large / Medium,Washington,TEX,13000
20191227113418517,1058990,205,121,3,1000,0.0,UNK,9/29/2011 0:00,D37E-2,D37,E,-2,UNK,UNK,Kentucky,TTT,9000
20191227113555750,1476453,4324,132,4,1991,0.0,UNK,2/11/2002 0:00,IT14B,IT14,B,UNK,UNK,Compact,Florida,WL,17500
20191227113366886,1010328,4753,121,3,1997,9808.0,Medium,11/18/2010 0:00,644G,644,G,UNK,UNK,Medium,Georgia,WL,38500
20191227113560863,1143395,1094,132,2,1997,0.0,UNK,3/23/2006 0:00,308BSR,308,B,UNK,SR,Small,New Jersey,TEX,27500
20191227113603685,414927,7110,132,6,1986,0.0,UNK,2/15/1989 0:00,416,416,UNK,UNK,UNK,UNK,Oklahoma,BL,26000
20191227113381123,1048406,1229,121,3,1994,10839.0,Medium,8/7/2008 0:00,325L,325,UNK,UNK,L,Large / Medium,Washington,TEX,37500
20191227113490367,1542305,3170,132,3,1992,0.0,UNK,9/7/2006 0:00,580K,580,K,UNK,UNK,UNK,California,BL,17500
20191227113367778,1058561,5870,121,3,2003,7319.0,High,11/15/2007 0:00,L150E,L150,E,UNK,UNK,Medium,Alabama,WL,99000
20191227113593202,1347247,4148,132,6,1983,0.0,UNK,1/31/1992 0:00,D8L,D8,L,UNK,UNK,Large,Florida,TTT,65000
20191227113538778,1042912,3782,132,1,1993,0.0,UNK,5/13/1999 0:00,928F,928,F,UNK,UNK,UNK,Texas,WL,56000
20191227113415130,114267,23531,121,3,2005,10168.0,Medium,6/23/2011 0:00,972GII,972,G,II,UNK,Medium,North Carolina,WL,101000
20191227113494065,1449762,3192,132,19,2003,0.0,UNK,11/29/2007 0:00,590SUPER M,590,SUPER M,UNK,UNK,UNK,Nevada,BL,32000
20191227113413204,1012216,2327,121,3,2001,22315.0,High,4/7/2011 0:00,WA600-3L,WA600,UNK,-3L,UNK,Large,West Virginia,WL,91000
20191227113557885,906690,3767,132,9,1994,0.0,UNK,2/18/2002 0:00,918F,918,F,UNK,UNK,UNK,Florida,WL,27500
20191227113464918,1441448,3176,132,1,1984,0.0,UNK,8/25/2005 0:00,580SUPER E,580,SUPER E,UNK,UNK,UNK,Texas,BL,12500
20191227113461924,1404664,6752,132,1,1983,0.0,UNK,4/30/1992 0:00,480,480,UNK,UNK,UNK,UNK,Arizona,BL,10000
20191227113463207,1345562,3207,132,15,1980,0.0,UNK,5/5/2005 0:00,680G,680,UNK,UNK,G,UNK,Pennsylvania,BL,10750
20191227113377541,369574,3542,121,3,2005,4327.0,High,3/12/2008 0:00,420D,420,D,UNK,UNK,UNK,Arizona,BL,39000
20191227113345123,761746,3783,121,3,2003,3458.0,Medium,6/1/2006 0:00,928G,928,G,UNK,UNK,UNK,Florida,WL,56000
20191227113615232,1553517,3357,132,4,1974,0.0,UNK,2/11/1994 0:00,12G,12,G,UNK,UNK,UNK,Florida,MG,40000
20191227113461017,1456189,3165,132,1,1981,0.0,UNK,8/14/1997 0:00,580D,580,D,UNK,UNK,UNK,California,BL,14500
20191227113504901,1300085,3356,132,4,1968,0.0,UNK,2/9/1995 0:00,12F,12,F,UNK,UNK,UNK,Florida,MG,17500
20191227113505104,1387500,3356,132,13,1969,0.0,UNK,3/13/2010 0:00,12F,12,F,UNK,UNK,UNK,Tennessee,MG,13500
20191227113575939,1359202,1035,132,2,1988,0.0,UNK,7/23/1994 0:00,215CLC,215,C,UNK,LC,Small,Ohio,TEX,51000
20191227113475239,1308255,3112,132,1,1995,0.0,UNK,2/28/2007 0:00,1845C,1845,C,UNK,UNK,UNK,Texas,SSL,9000
20191227113605875,1214891,43,132,8,1991,0.0,UNK,3/24/2004 0:00,416II,416,UNK,II,UNK,UNK,Mississippi,BL,12500
20191227113526867,1480536,1526,132,4,1982,0.0,UNK,2/8/1996 0:00,D3BLGP,D3,B,UNK,LGP,UNK,Florida,TTT,17000
20191227113459423,1333273,6788,132,4,1977,0.0,UNK,2/1/1989 0:00,580,580,UNK,UNK,UNK,UNK,Florida,BL,11250
20191227113500790,1093549,4123,132,2,1969,0.0,UNK,3/20/1997 0:00,D6C,D6,C,UNK,UNK,Medium,New Jersey,TTT,16500
20191227113580745,1260717,4128,132,4,1987,0.0,UNK,2/4/1999 0:00,D6H,D6,H,UNK,UNK,Medium,Florida,TTT,52000
20191227113615314,1184519,3357,132,1,1974,0.0,UNK,3/18/1997 0:00,12G,12,G,UNK,UNK,UNK,Texas,MG,36000
20191227113519025,1521325,3538,132,1,1999,0.0,UNK,10/5/2001 0:00,416C,416,C,UNK,UNK,UNK,Nevada,BL,37000
20191227113477329,1515651,6815,132,1,1989,0.0,UNK,9/6/2001 0:00,721,721,UNK,UNK,UNK,Medium,Nevada,WL,22000
20191227113588409,1413141,3538,132,3,2000,0.0,UNK,3/14/2002 0:00,416C,416,C,UNK,UNK,UNK,Unspecified,BL,37000
20191227113526741,1533991,1526,132,9,1979,0.0,UNK,2/15/2000 0:00,D3BLGP,D3,B,UNK,LGP,UNK,Florida,TTT,12600
20191227113476175,1200147,3196,132,4,2002,0.0,UNK,2/12/2008 0:00,60XT,60,XT,UNK,UNK,UNK,Florida,SSL,9750
20191227113597178,1239494,1530,132,23,1992,2905.0,High,2/22/1997 0:00,D3CIILGP,D3,C,II,LGP,UNK,New Jersey,TTT,29500
20191227113615190,1322561,3357,132,10,1974,0.0,UNK,5/6/1998 0:00,12G,12,G,UNK,UNK,UNK,South Carolina,MG,32000
20191227113544356,1145023,3819,132,2,1983,0.0,UNK,3/25/1994 0:00,950B,950,B,UNK,UNK,Medium,New Jersey,WL,58000
20191227113499644,1140087,1605,132,6,1979,0.0,UNK,5/14/1992 0:00,D6DLGP,D6,D,UNK,LGP,Medium,Alabama,TTT,18500
20191227113487263,1339807,3171,132,1,1996,0.0,UNK,11/27/2001 0:00,580L,580,L,UNK,UNK,UNK,Arizona,BL,18000
20191227113550916,852010,1129,132,4,2001,0.0,UNK,11/17/2005 0:00,315BL,315,B,UNK,L,Small,New Hampshire,TEX,30500
20191227113495881,1420721,3172,132,2,2005,0.0,UNK,2/3/2011 0:00,580M,580,M,UNK,UNK,UNK,Florida,BL,26000
20191227113537738,1312349,1046,132,6,1991,0.0,UNK,3/2/1995 0:00,225DLC,225,D,UNK,LC,Large / Medium,Florida,TEX,107500
20191227113369620,1013965,5895,121,3,2000,2445.0,Medium,7/1/2004 0:00,ZL402C,ZL402,C,UNK,UNK,Compact,Alabama,WL,9000
20191227113463168,1231913,22318,132,4,1980,0.0,UNK,2/6/1990 0:00,680,680,UNK,UNK,UNK,UNK,Florida,BL,11750
20191227113362361,897232,2636,121,3,2000,11857.0,High,9/20/2007 0:00,EC360LC,EC360,UNK,UNK,LC,Large / Medium,Tennessee,TEX,30000
20191227113452850,1201518,3170,132,2,1987,0.0,UNK,6/11/1994 0:00,580K,580,K,UNK,UNK,UNK,New Jersey,BL,22500
20191227113586829,127996,3538,132,1,1997,0.0,UNK,12/14/1999 0:00,416C,416,C,UNK,UNK,UNK,North Carolina,BL,26000
20191227113599682,859923,1611,132,1,1994,0.0,UNK,4/25/2001 0:00,D6HIILGP,D6,H,II,LGP,Medium,New York,TTT,43000
20191227113580647,1204339,4128,132,14,1986,0.0,UNK,9/14/1994 0:00,D6H,D6,H,UNK,UNK,Medium,Indiana,TTT,63500
20191227113374306,1024538,6270,121,3,2001,0.0,UNK,11/4/2004 0:00,RC30,RC30,UNK,UNK,UNK,UNK,Michigan,SSL,13250
